"","variety","length"
"1","bihai",47.12
"2","bihai",46.75
"3","bihai",46.81
"4","bihai",47.12
"5","bihai",46.67
"6","bihai",47.43
"7","bihai",46.44
"8","bihai",46.64
"9","bihai",48.07
"10","bihai",48.34
"11","bihai",48.15
"12","bihai",50.26
"13","bihai",50.12
"14","bihai",46.34
"15","bihai",46.94
"16","bihai",48.36
"17","red",41.9
"18","red",42.01
"19","red",41.93
"20","red",43.09
"21","red",41.47
"22","red",41.69
"23","red",39.78
"24","red",40.57
"25","red",39.63
"26","red",42.18
"27","red",40.66
"28","red",37.87
"29","red",39.16
"30","red",37.4
"31","red",38.2
"32","red",38.07
"33","red",38.1
"34","red",37.97
"35","red",38.79
"36","red",38.23
"37","red",38.87
"38","red",37.78
"39","red",38.01
"40","yellow",36.78
"41","yellow",37.02
"42","yellow",36.52
"43","yellow",36.11
"44","yellow",36.03
"45","yellow",35.45
"46","yellow",38.13
"47","yellow",37.1
"48","yellow",35.17
"49","yellow",36.82
"50","yellow",36.66
"51","yellow",35.68
"52","yellow",36.03
"53","yellow",34.57
"54","yellow",34.63
