monarch, years
William I, 21
William II, 13
Henry I, 35
Stephen, 19
Henry II, 35
Richard I, 10
John, 17
Henry III, 56
Edward I, 35
Edward II, 20
Edward III, 50
Richard II, 22
Henry IV, 13
Henry V, 9
Henry VI, 39
Edward IV, 22
Edward V, 0
Richard III, 2
Henry VII, 24
Henry VIII, 38
Edward VI, 6
Mary I, 5
Elizabeth I, 44
James I, 22
Charles I, 24
Charles II, 25
James II, 3
William III, 13
Mary II, 6
Anne, 12
George I, 13
George II, 33
George III, 59
George IV, 10
William IV, 7
Victoria, 63
Edward VII, 9
George V, 25
Edward VIII, 1
George VI, 15
Elizabeth II, 70
