Top Rated TV Programs: 1997–1998,,,Top Rated TV Programs: 2007–2008,
Program,,,Program,Rating
Seinfeld,21.7,,American Idol—Tuesday,16.1
ER,20.4,,American Idol—Wednesday,15.9
Veronica’sCloset,16.6,,Dancing With the Stars—Monday(2007),14
Friends,16.1,,Dancing With the Stars—Tuesday(2007),12.7
MondayNightFootball,15,,Dancing With the Stars—Monday(2008),12.6
TouchedbyanAngel,14.2,,Dancing With the Stars—Tuesday(2008),11.8
60Minutes,13.8,,Desperate Housewives,11.6
UnionSquare,13.6,,CSI,10.6
CBSSundayMovie,13.1,,House—Tuesday,10.5
Frasier,12,,Grey’s Anatomy,10.4
HomeImprovement,12,,Sunday Night Football,9.7
JustShootMe,11.9,,CSI:Miami,9.2
DatelineNBC—Tuesday,11.5,,House—Monday,9.2
DatelineNBC—Monday,11.4,,NCIS,9.2
TheDrewCareyShow,11.1,,Survivor: China,9
20/20—Friday,10.9,,Without a Trace,8.8
N.Y.P.D.Blue,10.8,,The Moment of Truth,8.8
PrimetimeLive,10.8,,Two and a Half Men,8.5
TheX-Files,10.6,,60 Minutes,8.4
LawandOrder,10.2,,Criminal Minds,8.2
