year, school, wins, losses, ties
2011, University of Minnesota-Duluth, 25, 10, 6
2010, Boston College, 29, 10, 3
2009, Boston University, 35, 6, 4
2008, Boston College, 25, 11, 8
2007, Michigan State, 26, 13, 3
2006, Wisconsin, 30, 10, 3
2005, Denver, 32, 9, 2
2004, Denver, 27, 12, 5
2003, Minnesota, 30, 8, 9
2002, Minnesota, 32, 8, 4
2001, Boston College, 33, 8, 2
2000, North Dakota, 31, 8, 5
1999, Maine, 31, 6, 4
1998, Michigan, 32, 11, 1
1997, North Dakota, 31, 10, 2
1996, Michigan, 33, 7, 2
1995, Boston University, 31, 6, 3
1994, Lake Superior State, 31, 10, 4
1993, Maine, 42, 1, 2
1992, Lake Superior State, 30, 9, 4
1991, Northern Michigan, 38, 5, 4
1990, Wisconsin, 36, 9, 1
1989, Harvard, 31, 3, 0
1988, Lake Superior State, 33, 7, 6
1987, North Dakota, 40, 8, 0
1986, Michigan State, 34, 9, 2
1985, Rensselaer, 35, 2, 1
1984, Bowling Green, 34, 8, 2
1983, Wisconsin, 33, 10, 4
1982, North Dakota, 35, 12, 0
1981, Wisconsin, 27, 14, 1
1980, North Dakota, 31, 8, 1
1979, Minnesota, 32, 11, 1
1978, Boston University, 30, 2, 0
1977, Wisconsin, 37, 7, 1
1976, Minnesota, 28, 14, 2
1975, Michigan Tech, 32, 10, 0
1974, Minnesota, 22, 12, 6
1973, Wisconsin, 29, 9, 2
1972, Boston University, 26, 4, 1
1971, Boston University, 28, 2, 1
1970, Cornell, 29, 0, 0
1969, Denver, 26, 6, 0
1968, Denver, 28, 5, 1
1967, Cornell, 27, 1, 1
1966, Michigan State, 16, 13, 0
1965, Michigan Tech, 24, 5, 2
1964, Michigan, 24, 4, 1
1963, North Dakota, 22, 7, 3
1962, Michigan Tech, 29, 3, 0
1961, Denver, 30, 1, 1
1960, Denver, 27, 4, 3
1959, North Dakota, 20, 10, 1
1958, Denver, 24, 10, 2
1957, Colorado College, 25, 5, 0
1956, Michigan, 20, 2, 1
1955, Michigan, 18, 5, 1
1954, Rensselaer, 18, 5, 0
1953, Michigan, 17, 7, 0
1952, Michigan, 22, 4, 0
1951, Michigan, 22, 4, 1
1950, Colorado College, 18, 5, 1
1949, Boston College, 21, 1, 0
1948, Michigan, 20, 2, 1
