"school","rate"
"Akron",34
"Alabama-Birmingham",31
"Alabama",57
"Alabama State",21
"American University",67
"Appalachian State",64
"Arizona",51
"Arizona State",46
"Arkansas",41
"Arkansas State",31
"Auburn",66
"Austin Peay",35
"Ball State",55
"Baylor",69
"Bethune-Cookman",30
"Boise State",25
"Boston College",86
"Boston University",69
"Bowling Green",62
"Bradley",68
"Brigham Young",58
"Bucknell",92
"Butler",62
"California",80
"Cal-Irvine",72
"Cal-Santa Barbara",70
"Cal State-Fullerton",42
"Cal State-Sacramento",36
"Canisius",55
"Centenary",54
"Central Florida",51
"Central Michigan",51
"Chicago State",16
"Cincinnati",46
"The Citadel",77
"Clemson",70
"Cleveland State",28
"Coastal Carolina",31
"Colgate",88
"Colorado",66
"Colorado State",56
"Connecticut",68
"Creighton",67
"Davidson",89
"Dayton",75
"Delaware",71
"Delaware State",30
"DePaul",58
"Detroit Mercy",37
"Drake",61
"Drexel",47
"Duke",93
"Duquesne",69
"East Carolina",49
"East Tennessee State",37
"Eastern Illinois",69
"Eastern Kentucky",25
"Eastern Washington",44
"Evansville",59
"Fairfield",83
"Fairleigh Dickinson",22
"Florida",63
"Florida A&M",42
"Florida International",55
"Florida State",64
"Fordham",74
"Furman",76
"George Mason",48
"George Washington",65
"Georgetown",90
"Georgia",60
"Georgia Tech",67
"Georgia Southern",40
"Georgia State",41
"Gonzaga",64
"Grambling State",33
"Hartford",50
"Hawaii",72
"Hofstra",61
"Howard",47
"Idaho",47
"Idaho State",36
"Illinois",78
"Illinois-Chicago",34
"Illinois State",54
"Indiana State",36
"Indiana",70
"Iona",59
"Iowa",63
"Iowa State",60
"Jackson State",33
"Jacksonville University",41
"James Madison",82
"Kansas",56
"Kansas State",48
"Kent State",43
"Kentucky",50
"Lafayette",87
"Lamar",22
"Lehigh",85
"Liberty",37
"Long Island University",27
"Louisiana State",47
"Louisiana Tech",39
"Louisville",26
"Loyola (MD)",78
"Loyola Marymount",74
"Loyola (IL)",66
"Maine",54
"Manhattan",71
"Marist",61
"Marquette",75
"Marshall",41
"Maryland-Baltimore Co.",45
"Maryland",61
"Maryland-Eastern Shore",30
"Massachusetts",60
"McNeese State",28
"Memphis",34
"Mercer",43
"Miami (FL)",58
"Miami (OH)",82
"Michigan",84
"Michigan State",66
"Middle Tennessee State",38
"Minnesota",52
"Mississippi",47
"Mississippi State",45
"Mississippi Valley State",53
"Missouri",57
"Monmouth (NJ)",45
"Montana",38
"Morehead State",40
"Morgan State",31
"Mount St. Mary's",65
"Murray State",46
"Nebraska",49
"Nevada-Las Vegas",35
"New Hampshire",73
"New Mexico",33
"New Mexico State",40
"New Orleans",26
"Niagara",48
"Nicholls State",19
"North Carolina-Asheville",41
"North Carolina",82
"North Carolina-Charlotte",53
"North Carolina-Wilmington",57
"North Carolina A&T",44
"North Carolina State",67
"North Texas",35
"Northeast Louisiana",30
"Northeastern",40
"Northern Illinois",51
"Northern Iowa",59
"Northwestern State",28
"Northwestern",91
"Notre Dame",93
"Ohio State",55
"Ohio University",58
"Oklahoma",44
"Oklahoma State",48
"Old Dominion",40
"Oregon",56
"Oregon State",63
"Pacific",59
"Penn State",78
"Pepperdine",69
"Pittsburgh",62
"Providence",93
"Purdue",69
"Radford",58
"Rice",90
"Richmond",83
"Rider",55
"Robert Morris",47
"Rutgers",75
"St. Bonaventure",72
"St. Francis (NY)",39
"St. Francis (PA)",53
"St. John's",63
"St. Joseph's",73
"St. Louis U.",60
"St. Mary's",68
"St. Peter's",47
"San Diego",67
"San Diego State",34
"San Francisco",61
"San Jose State",39
"Santa Clara",80
"Seton Hall",65
"Siena",81
"South Alabama",30
"South Carolina",63
"South Carolina State",49
"South Florida",46
"Southeast Missouri State",37
"Southeastern Louisiana",27
"Southern California",67
"Southern Illinois",39
"SMU",72
"Southern Mississippi",46
"Southern University",22
"Southwest Missouri State",39
"Southwest Texas State",30
"Southwestern Louisiana",27
"Stanford",94
"Stephen F. Austin",41
"Stetson",64
"Syracuse",70
"Temple",49
"Tennessee-Chatt.",38
"Tennessee",55
"Tennessee Tech",44
"UT-Arlington",27
"Texas",63
"UT-El Paso",24
"UT-Pan Am",20
"UT-San Antonio",24
"Texas A&M",68
"TCU",59
"Texas Southern",12
"Texas Tech",40
"Toledo",37
"Tulane",72
"Tulsa",59
"UCLA",77
"Utah",38
"Utah State",50
"Valparaiso",72
"Vanderbilt",82
"Vermont",72
"Villanova",84
"Virginia",91
"Virginia Commonwealth",43
"Virginia Military",67
"Virginia Tech",73
"Wagner",70
"Wake Forest",85
"Washington",69
"Washington State",63
"Weber State",40
"West Virginia",56
"Western Carolina",48
"Western Illinois",46
"Western Kentucky",41
"Western Michigan",52
"Wichita State",27
"William & Mary",91
"Winthrop",57
"Wisconsin",72
"Wisconsin-Green Bay",41
"Wright State",32
"Wyoming",45
"Xavier (OH)",69
"Youngstown State",34
