Medal,Ctry,Luger,Run1,Run2,Run3,Run4
Gold, GER,Felix Loch ,48.168,48.402,48.344,48.171
Silver, GER,David Moeller ,48.341,48.511,48.582,48.33
Bronze, ITA,Armin Zoeggeler ,48.473,48.529,48.914,48.459
4th, RUS,Albert Demtschenko ,48.59,48.579,48.769,48.467
5th, GER,Andi Langenhan ,48.629,48.658,48.869,48.473
6th, AUT,Daniel Pfister ,48.583,48.707,48.883,48.553
7th, CAN,Samuel Edney ,48.754,48.793,48.92,48.373
8th, USA,Tony Benshoof ,48.657,48.747,49.01,48.714
9th, AUT,Wolfgang Kindl ,48.707,48.755,49.08,48.673
10th, AUT,Manuel Pfister ,48.677,48.835,49.064,48.693
11th, LAT,Martins Rubenis ,48.818,48.831,49.21,48.809
12th, RUS,Viktor Kneib ,48.899,48.862,49.224,48.747
13th, USA,Chris Mazdzer ,48.811,48.963,49.223,48.816
14th, CAN,Jeff Christie ,48.881,48.904,49.308,48.73
15th, USA,Bengt Walden ,49.002,48.865,49.323,48.794
16th, GBR,Adam Rosen ,48.896,49.005,49.259,48.856
17th, ITA,David Mair ,48.978,48.989,49.387,48.845
18th, LAT,Inars Kivlenieks ,48.96,49.065,49.259,48.92
19th, RUS,Stepan Fedorov ,49.214,48.859,49.123,49.021
20th, CAN,Ian Cockerline ,49.033,49.132,49.297,48.781
21th, ITA,Reinhold Rainer ,48.846,49.065,49.416,49.007
22th, FRA,Thomas Girod ,49.077,49.192,49.424,49.157
23th, POL,Maciej Kurowski ,49.427,49.2,49.361,49.039
24th, SVK,Jozef Ninis ,49.196,49.153,49.643,49.122
25th, CZE,Ondrej Hyman ,49.284,49.346,49.512,49.247
26th, LAT,Guntis Rekis ,49.275,49.625,49.476,49.071
27th, SLO,Domen Pociecha ,49.34,49.457,49.587,49.362
28th, CZE,Jakub Hyman ,49.379,49.726,49.465,49.231
29th, IND,Shiva Keshavan Kannan Palan ,49.561,49.529,49.597,49.786
30th, JPN,Takahisa Oguchi ,49.542,49.78,49.818,49.903
31th, ROU,Valentin Cretu ,49.726,50.224,49.931,49.594
32th, SUI,Stefan Hoehener ,48.728,53.838,49.559,48.713
33th, MDA,Bogdan Macovei ,50.425,50.175,50.423,50.331
34th, TPE,Chih-Hung Ma ,50.318,50.46,51.09,50.494
35th, BUL,Peter Iliev ,50.348,50.701,50.921,50.428
36th, KOR,Yong Lee ,50.549,50.607,51.012,51.128
37th, BUL,Ivan Papukchiev ,50.932,50.909,51.105,50.386
38th, ARG,Ruben Gonzalez ,52.54,52.155,52.298,51.312
