Finish,Country,Pair,Short,Long,Total
Gold, CHN,Xue Shen Hongbo Zhao ,76.66,139.91,216.57
Silver, CHN,Qing Pang Jian Tong ,71.5,141.81,213.31
Bronze, GER,Aliona Savchenko Robin Szolkowy ,75.96,134.64,210.6
4th, RUS,Yuko Kavaguti Alexander Smirnov ,74.16,120.61,194.77
5th, CHN,Dan Zhang Hao Zhang ,71.28,123.06,194.34
6th, CAN,Jessica Dube Bryce Davison ,65.36,121.75,187.11
7th, RUS,Maria Mukhortova Maxim Trankov ,63.44,122.35,185.79
8th, UKR,Tatiana Volosozhar Stanislav Morozov ,62.14,119.64,181.78
9th, CAN,Anabelle Langlois Cody Hay ,64.2,115.77,179.97
10th, USA,Amanda Evora Mark Ladwig ,57.86,114.06,171.92
11th, RUS,Vera Bazarova Yuri Larionov ,56.54,106.96,163.5
12th, ITA,Nicole Della Monica Yannick Kocon ,56.82,104.78,161.6
13th, USA,Caydee Denney Jeremy Barrett ,53.26,105.07,158.33
14th, FRA,Vanessa James Yannick Bonheur ,51.16,93.94,145.1
15th, SUI,Anais Morand Antoine Dorsaz ,55.34,89.08,144.42
16th, GBR,Stacey Kemp David King ,48.28,91.66,139.94
17th, GER,Maylin Hausch Daniel Wende ,45.46,93.28,138.74
18th, POL,Joanna Sulej Mateusz Chruscinski ,39.3,86.52,125.82
19th, EST,Maria Sergejeva Ilja Glebov ,42.18,82.72,124.9
20th, UKR,Ekaterina Kostenko Roman Talan ,39.54,81.44,120.98
